	cell_id	n_genes	total_counts
G1802	G1802	805	7220.3652
G1803	G1803	805	6855.4169999999995
G1804	G1804	805	7497.6258
G1805	G1805	805	6962.3693
G1806	G1806	805	10156.5499
G1807	G1807	805	6329.5151
G1808	G1808	805	7225.529500000001
G1809	G1809	805	7659.2816
G1810	G1810	805	5841.2615000000005
G1811	G1811	805	6693.5638
G1812	G1812	805	6603.7005
G1813	G1813	805	7389.749600000001
G1814	G1814	805	6428.48
G1815	G1815	805	6861.2372
G1816	G1816	805	8521.6227
G1817	G1817	805	4995.827
G1818	G1818	805	5490.2829
G1819	G1819	805	4370.0466
G1820	G1820	805	6208.03
G1821	G1821	805	6527.4746
G1822	G1822	805	9544.5717
G1823	G1823	805	5820.8755
G1824	G1824	805	7526.4893
G1825	G1825	805	5706.168
G1826	G1826	805	7277.6855
G1827	G1827	805	7370.9948
G1828	G1828	805	7004.8984
G1829	G1829	805	6412.5758
G1830	G1830	805	6671.7377
G1831	G1831	805	6297.956899999999
G1832	G1832	805	6019.4386
G1833	G1833	805	5429.5688
G1834	G1834	805	10307.2963
G1835	G1835	805	7061.142
G1836	G1836	805	6808.3649
G1837	G1837	805	7973.222999999999
G1838	G1838	805	6585.7674
G1839	G1839	805	6108.2383
G1840	G1840	805	6867.623
G1841	G1841	805	8032.312400000001
G1842	G1842	805	7967.9214
G1843	G1843	805	8281.6596
G1844	G1844	805	8193.912100000001
G1845	G1845	805	5601.0761999999995
G1846	G1846	805	6772.5857
G1847	G1847	805	6660.8971
G1848	G1848	805	6081.0824
G1849	G1849	805	6616.2217
G1850	G1850	805	5403.6993999999995
G1851	G1851	805	7125.022800000001
G1852	G1852	805	7281.6543
G1853	G1853	805	5658.346799999999
G1854	G1854	805	7089.970600000001
G1855	G1855	805	6156.1224
G1856	G1856	805	6558.3099
G1857	G1857	805	7184.5674
G1858	G1858	805	4394.6032
G1859	G1859	805	4504.6419000000005
G1860	G1860	805	7622.9251
G1861	G1861	805	6931.673199999999
G1862	G1862	805	5979.3478
G1863	G1863	805	5865.9702
G1864	G1864	805	6937.488299999999
G1865	G1865	805	6566.6597
G1866	G1866	805	6353.9005
G1867	G1867	805	6062.054099999999
G1868	G1868	805	5891.564200000001
G1869	G1869	805	5165.1937
G1870	G1870	805	7721.9663
G1871	G1871	805	7309.1944
G1872	G1872	805	6535.2582999999995
G1873	G1873	805	6352.7645999999995
G1874	G1874	805	6994.9088
G1875	G1875	805	3412.0541
G1876	G1876	805	3738.9605
G1877	G1877	805	6664.4853
G1878	G1878	805	4692.618100000001
G1879	G1879	805	8013.7508
G1880	G1880	805	7578.1876
G1881	G1881	805	7768.5267
G1882	G1882	805	6165.2137999999995
G1883	G1883	805	7989.8162
G1884	G1884	805	7494.728
G1885	G1885	805	6591.700699999999
G1886	G1886	805	6947.0945
G1887	G1887	805	7015.2304
G1888	G1888	805	6716.5615
G1889	G1889	805	7366.271500000001
G1890	G1890	805	6044.3543
G1891	G1891	805	7680.8836
G1892	G1892	805	6348.8739
G1893	G1893	805	7821.623
G1894	G1894	805	6140.2138
G1895	G1895	805	6801.660400000001
G1896	G1896	805	4946.4008
G1897	G1897	805	6860.2986
G1898	G1898	805	5525.056199999999
G1899	G1899	805	6544.1011
G1900	G1900	805	5144.1246
G1901	G1901	805	6109.676100000001
G1902	G1902	805	6444.979799999999
G1903	G1903	805	6831.1849
G1904	G1904	805	8099.453
G1905	G1905	805	5979.4432
G1906	G1906	805	6570.1714
G1907	G1907	805	7390.7507000000005
G1908	G1908	805	6632.939699999999
G1909	G1909	805	6335.979600000001
G1910	G1910	805	7599.485900000001
G1911	G1911	805	6962.6553
G1912	G1912	805	4961.2033
G1913	G1913	805	7424.3689
G1914	G1914	805	7029.7878
G1915	G1915	805	7152.5679
G1916	G1916	805	9010.935099999999
G1917	G1917	805	7503.3148
G1918	G1918	805	6862.7762
G1919	G1919	805	6985.5838
G1920	G1920	805	7124.4534
G1921	G1921	805	7232.8035
G1922	G1922	805	8030.167599999999
G1923	G1923	805	7660.6247
G1924	G1924	805	7538.56
G1925	G1925	805	7738.0714
G1926	G1926	805	6922.1808
G1927	G1927	805	9307.8914
G1928	G1928	805	7543.4728
G1929	G1929	805	6968.9520999999995
G1930	G1930	805	6375.6543
G1931	G1931	805	6463.7534000000005
G1932	G1932	805	6916.032800000001
G1933	G1933	805	5340.8997
G1934	G1934	805	7711.9935
G1935	G1935	805	6397.1252
G1936	G1936	805	6287.4355
G1937	G1937	805	6850.1616
G1938	G1938	805	6162.0872
G1939	G1939	805	5917.1103
G1940	G1940	805	5765.1254
G1941	G1941	805	7393.878500000001
G1942	G1942	805	8313.526000000002
G1943	G1943	805	6341.8853
G1944	G1944	805	5813.5527
G1945	G1945	805	5046.087600000001
G1946	G1946	805	6862.054900000001
G1947	G1947	805	6781.092500000001
G1948	G1948	805	7141.8261
G1949	G1949	805	4777.3513
G1950	G1950	805	8037.898999999999
G1951	G1951	805	7799.9806
G1952	G1952	805	7838.4845
G1953	G1953	805	6512.0036
G1954	G1954	805	6281.302299999999
G1955	G1955	805	5773.6021
G1956	G1956	805	6569.7085
G1957	G1957	805	5956.548199999999
G1958	G1958	805	6377.475
G1959	G1959	805	5708.5355
G1960	G1960	805	4915.9789
G1961	G1961	805	7835.108899999999
G1962	G1962	805	5969.2698
G1963	G1963	805	5777.4196999999995
G1964	G1964	805	6616.3328
G1965	G1965	805	7478.1725
G1966	G1966	805	6996.0841
G1967	G1967	805	5997.405199999999
G1968	G1968	805	7639.3865
G1969	G1969	805	6510.0851
G1970	G1970	805	7025.2731
G1971	G1971	805	7651.5458
G1972	G1972	805	6473.9248
G1973	G1973	805	5607.7126
G1974	G1974	805	6267.9281
G1975	G1975	805	7001.112300000001
G1976	G1976	805	7513.854600000001
G1977	G1977	805	7408.8462
G1978	G1978	805	7898.073
G1979	G1979	805	6847.224899999999
G1980	G1980	805	7099.4232
G1981	G1981	805	6974.3241
G1982	G1982	805	3790.9456
G1983	G1983	805	6623.0308
G1984	G1984	805	6255.578799999999
G1985	G1985	805	6568.984100000001
G1986	G1986	805	7536.3188
G1987	G1987	805	5795.1305
G1988	G1988	805	6789.188900000001
G1989	G1989	805	6924.7433
G1990	G1990	805	7487.3532
G1991	G1991	805	4415.5176
G1992	G1992	805	6052.1635
G1993	G1993	805	7063.1192
G1994	G1994	805	6954.1993
G1995	G1995	805	5413.4163
G1996	G1996	805	5927.689
G1997	G1997	805	10730.743999999999
G1998	G1998	805	8523.5017
G1999	G1999	805	7907.4668
G2000	G2000	805	6319.2297
G2001	G2001	805	5844.294
G2002	G2002	805	8047.7474999999995
G2003	G2003	805	6480.7649
G2004	G2004	805	6812.0206
G2005	G2005	805	6020.9581
G2006	G2006	805	6286.9628999999995
G2007	G2007	805	6889.396299999999
G2008	G2008	805	7130.944100000001
G2009	G2009	805	6239.565299999999
G2010	G2010	805	6900.862500000001
G2011	G2011	805	5963.1924
G2012	G2012	805	6500.4629
G2013	G2013	805	7546.8422
G2014	G2014	805	9330.1594
G2015	G2015	805	8041.9273
G2016	G2016	805	7541.495000000001
G2017	G2017	805	7252.0172999999995
G2018	G2018	805	6866.516799999999
G2019	G2019	805	5284.3703000000005
G2020	G2020	805	6066.0756
G2021	G2021	805	6502.839
G2022	G2022	805	6992.459
G2023	G2023	805	6861.079599999999
G2024	G2024	805	8723.890200000002
G2025	G2025	805	6689.1858
G2026	G2026	805	5568.221399999999
G2027	G2027	805	6313.4654
G2028	G2028	805	7077.982900000001
G2029	G2029	805	5992.9765
G2030	G2030	805	6976.8656
G2031	G2031	805	6950.0049
G2032	G2032	805	6384.9159
G2033	G2033	805	5865.731000000001
G2034	G2034	805	6702.627
G2035	G2035	805	6684.24
G2036	G2036	805	7765.631299999999
G2037	G2037	805	6724.5026
G2038	G2038	805	6938.9992
G2039	G2039	805	4863.3508
G2040	G2040	805	6318.0422
G2041	G2041	805	6900.0715
G2042	G2042	805	6431.1197999999995
G2043	G2043	805	6840.7072
G2044	G2044	805	5332.5954
G2045	G2045	805	4605.2032
G2046	G2046	805	8264.912400000001
G2047	G2047	805	7182.7019
G2048	G2048	805	6723.1088
G2049	G2049	805	6403.1816
G2050	G2050	805	8407.394400000001
G2051	G2051	805	5611.9351
G2052	G2052	805	7314.2964
G2053	G2053	805	7224.321400000001
G2054	G2054	805	7144.7866
G2055	G2055	805	7527.8305
G2056	G2056	805	7140.753199999999
G2057	G2057	805	10268.4981
G2058	G2058	805	6388.7231
G2059	G2059	805	6710.0683
G2060	G2060	805	5530.9175
G2061	G2061	805	4904.216
G2062	G2062	805	9652.3292
G2063	G2063	805	9401.4359
G2064	G2064	805	5770.2648
G2065	G2065	805	6427.2498
G2066	G2066	805	7385.586799999999
G2067	G2067	805	6847.875399999999
G2068	G2068	805	9136.3329
G2069	G2069	805	6904.8878
G2070	G2070	805	6130.5084
G2071	G2071	805	6860.442599999999
G2072	G2072	805	6886.8672
G2073	G2073	805	6555.9664
G2074	G2074	805	6389.4814
G2075	G2075	805	7249.2617
G2076	G2076	805	10300.5664
G2077	G2077	805	7188.57
G2078	G2078	805	6596.5522
G2079	G2079	805	6667.0079
G2080	G2080	805	8240.8951
G2081	G2081	805	6594.5853
G2082	G2082	805	8664.4672
G2083	G2083	805	5435.9755000000005
G2084	G2084	805	5216.4649
G2085	G2085	805	9902.988
G2086	G2086	805	7947.6592
G2087	G2087	805	4415.8175
G2088	G2088	805	6964.6248
G2089	G2089	805	8027.289199999999
G2090	G2090	805	7362.9416
G2091	G2091	805	6886.825000000001
G2092	G2092	805	6135.9574
G2093	G2093	805	7734.9848999999995
G2094	G2094	805	4707.909
G2095	G2095	805	6810.5117
G2096	G2096	805	6013.802
G2097	G2097	805	8056.4920999999995
G2098	G2098	805	7776.639300000001
G2099	G2099	805	6241.756299999999
G2100	G2100	805	5946.1748
G2101	G2101	805	7192.2386
G2102	G2102	805	6099.9299
G2103	G2103	805	4953.9977
G2104	G2104	805	6861.17
G2105	G2105	805	6899.756600000001
G2106	G2106	805	7200.366300000001
G2107	G2107	805	6779.9144
G2108	G2108	805	6860.7448
G2109	G2109	805	7500.950999999999
G2110	G2110	805	7733.6326
G2111	G2111	805	6886.1737
G2112	G2112	805	7086.0214
G2113	G2113	805	6414.8644
G2114	G2114	805	6087.8006000000005
G2115	G2115	805	6067.5949
G2116	G2116	805	7360.7283
G2117	G2117	805	5678.0996
G2118	G2118	805	6504.6852
G2119	G2119	805	8899.7278
G2120	G2120	805	7175.5079000000005
G2121	G2121	805	8567.736700000001
G2122	G2122	805	5728.6333
G2123	G2123	805	6707.394899999999
G2124	G2124	805	6965.5587
G2125	G2125	805	6672.3179
G2126	G2126	805	6968.338900000001
G2127	G2127	805	7352.2264
G2128	G2128	805	6618.3875
G2129	G2129	805	5648.5249
G2130	G2130	805	8116.700999999999
G2131	G2131	805	6768.120199999999
G2132	G2132	805	6771.7143
G2133	G2133	805	6116.7582999999995
G2134	G2134	805	8065.942
G2135	G2135	805	7901.8958
G2136	G2136	805	2983.6422999999995
G2137	G2137	805	5358.566500000001
G2138	G2138	805	7324.2970000000005
G2139	G2139	805	7196.1433
G2140	G2140	805	6043.9426
G2141	G2141	805	6652.2375999999995
G2142	G2142	805	5666.853499999999
G2143	G2143	805	8070.592500000001
G2144	G2144	805	6116.233700000001
G2145	G2145	805	6688.8012
G2146	G2146	805	7561.2117
G2147	G2147	805	7594.3341
G2148	G2148	805	7649.709699999999
G2149	G2149	805	6196.8774
G2150	G2150	805	7180.9136
G2151	G2151	805	5730.3897
G2152	G2152	805	7473.4794999999995
G2153	G2153	805	6894.052100000001
G2154	G2154	805	6383.516600000001
G2155	G2155	805	8281.588899999999
G2156	G2156	805	6389.7582
G2157	G2157	805	6633.0875
G2158	G2158	805	6342.7422
G2159	G2159	805	7499.2644
G2160	G2160	805	6679.3087
G2161	G2161	805	9483.4863
G2162	G2162	805	6959.8339000000005
G2163	G2163	805	7498.8036
G2164	G2164	805	6788.8842
G2165	G2165	805	8042.7867
G2166	G2166	805	6886.735000000001
G2167	G2167	805	6918.848
G2168	G2168	805	7409.0236
G2169	G2169	805	7592.329299999999
G2170	G2170	805	5353.6198
G2171	G2171	805	6047.7292
G2172	G2172	805	5587.112999999999
G2173	G2173	805	6603.5507
G2174	G2174	805	6660.285599999999
G2175	G2175	805	5922.3897
G2176	G2176	805	5355.6509
G2177	G2177	805	8573.4764
G2178	G2178	805	6601.9674
G2179	G2179	805	6648.958500000001
G2180	G2180	805	7160.8195
G2181	G2181	805	5479.4435
G2182	G2182	805	5839.2699
G2183	G2183	805	5761.3586
G2184	G2184	805	6991.6541
G2185	G2185	805	5172.1267
G2186	G2186	805	6848.003
G2187	G2187	805	7089.6139
G2188	G2188	805	7249.4591
G2189	G2189	805	9191.844700000001
G2190	G2190	805	7586.9452
G2191	G2191	805	7157.2726999999995
G2192	G2192	805	6148.323
G2193	G2193	805	6269.0785
G2194	G2194	805	5727.2617
G2195	G2195	805	4791.9465
G2196	G2196	805	7876.4816
G2197	G2197	805	4907.4147
G2198	G2198	805	6510.3721000000005
G2199	G2199	805	6835.008
G2200	G2200	805	8465.939299999998
G2201	G2201	805	7450.0826
G2202	G2202	805	5081.0267
G2203	G2203	805	6875.1795
G2204	G2204	805	7899.6597
G2205	G2205	805	7078.800000000001
G2206	G2206	805	6529.5377
G2207	G2207	805	6035.495800000001
G2208	G2208	805	7635.193899999999
G2209	G2209	805	6822.5622
G2210	G2210	805	8199.312000000002
G2211	G2211	805	6901.287
G2212	G2212	805	7916.5325
G2213	G2213	805	6942.5441
G2214	G2214	805	7982.1898
G2215	G2215	805	6788.353500000001
G2216	G2216	805	7418.9082
G2217	G2217	805	6400.6386999999995
G2218	G2218	805	5478.1798
G2219	G2219	805	6678.7812
G2220	G2220	805	7951.661400000001
G2221	G2221	805	5851.672299999999
G2222	G2222	805	6544.9186
G2223	G2223	805	4798.6907
G2224	G2224	805	7242.6349
G2225	G2225	805	7362.0332
G2226	G2226	805	7769.2615000000005
G2227	G2227	805	6514.7166
G2228	G2228	805	7018.3555
G2229	G2229	805	6394.397800000001
G2230	G2230	805	5792.3824
G2231	G2231	805	6817.9839999999995
G2232	G2232	805	6589.3528
G2233	G2233	805	7347.5623
G2234	G2234	805	8473.8842
G2235	G2235	805	6337.280699999999
G2236	G2236	805	6956.4772
G2237	G2237	805	5533.2561000000005
G2238	G2238	805	9136.428500000002
G2239	G2239	805	7361.0427
G2240	G2240	805	6620.1585000000005
G2241	G2241	805	9766.9996
G2242	G2242	805	6610.4256
G2243	G2243	805	5868.1705
G2244	G2244	805	5900.1126
G2245	G2245	805	6601.519899999999
G2246	G2246	805	5133.8982
G2247	G2247	805	8004.846399999999
G2248	G2248	805	7855.8146
G2249	G2249	805	6064.3609
G2250	G2250	805	5533.9559
G2251	G2251	805	6697.941199999999
G2252	G2252	805	7931.3988
G2253	G2253	805	8321.5703
G2254	G2254	805	6858.098099999999
G2255	G2255	805	6570.0345
G2256	G2256	805	8427.9345
G2257	G2257	805	7057.412199999999
G2258	G2258	805	8226.193
G2259	G2259	805	7496.2211
G2260	G2260	805	6488.3832
G2261	G2261	805	6741.2849
G2262	G2262	805	6269.5018
G2263	G2263	805	6792.5049
G2264	G2264	805	6918.3516
G2265	G2265	805	7104.459
G2266	G2266	805	4853.387000000001
G2267	G2267	805	7000.2589
G2268	G2268	805	6850.3956
G2269	G2269	805	6779.771699999999
G2270	G2270	805	7158.329000000001
G2271	G2271	805	4480.3667
G2272	G2272	805	6428.2701
G2273	G2273	805	5931.9054
G2274	G2274	805	6385.2409
G2275	G2275	805	5007.8069
G2276	G2276	805	7423.2957
G2277	G2277	805	6374.2247
G2278	G2278	805	8790.7773
G2279	G2279	805	7316.321899999999
G2280	G2280	805	8030.018900000001
G2281	G2281	805	7016.625
G2282	G2282	805	5694.3135
G2283	G2283	805	5702.9817
G2284	G2284	805	7620.533600000001
G2285	G2285	805	8323.2297
G2286	G2286	805	6675.1819
G2287	G2287	805	6709.136199999999
G2288	G2288	805	5608.5761
G2289	G2289	805	6372.1942
G2290	G2290	805	6617.7216
G2291	G2291	805	7457.4938
G2292	G2292	805	6979.9126
G2293	G2293	805	7828.9397
G2294	G2294	805	7484.8639
G2295	G2295	805	5851.8469
G2296	G2296	805	5233.2827
G2297	G2297	805	8222.5344
G2298	G2298	805	6865.7983
G2299	G2299	805	7320.639
G2300	G2300	805	8516.2757
G2301	G2301	805	6606.377
G2302	G2302	805	7833.041500000001
G2303	G2303	805	6703.049599999999
G2304	G2304	805	7785.7919
G2305	G2305	805	7137.3196
G2306	G2306	805	6708.561
G2307	G2307	805	7654.1458
G2308	G2308	805	7256.8819
G2309	G2309	805	7178.9916
G2310	G2310	805	4673.4164
G2311	G2311	805	7447.6465
G2312	G2312	805	6731.3933
G2313	G2313	805	6924.4843
G2314	G2314	805	6634.3516
G2315	G2315	805	7904.781200000001
G2316	G2316	805	7524.7183
G2317	G2317	805	6847.932
G2318	G2318	805	7454.2117
G2319	G2319	805	6494.2977
G2320	G2320	805	4922.0877
G2321	G2321	805	7936.045800000001
G2322	G2322	805	9690.9738
G2323	G2323	805	5681.6543
G2324	G2324	805	7435.240400000001
G2325	G2325	805	6076.1726
G2326	G2326	805	5529.3328
G2327	G2327	805	6604.4089
G2328	G2328	805	6793.3054
G2329	G2329	805	8613.348
G2330	G2330	805	7587.845799999999
G2331	G2331	805	7666.9644
G2332	G2332	805	6522.9794
G2333	G2333	805	6877.2428
G2334	G2334	805	7735.856
G2335	G2335	805	7071.6332999999995
G2336	G2336	805	7560.1451
G2337	G2337	805	6474.3026
G2338	G2338	805	7813.3189999999995
G2339	G2339	805	7393.428899999999
G2340	G2340	805	8250.603599999999
G2341	G2341	805	8530.3194
G2342	G2342	805	7026.9405
G2343	G2343	805	6873.6442
G2344	G2344	805	7595.8981
G2345	G2345	805	7723.398800000001
G2346	G2346	805	8855.6098
G2347	G2347	805	6856.2371
G2348	G2348	805	5989.3573
G2349	G2349	805	7602.3747
G2350	G2350	805	5138.310799999999
G2351	G2351	805	4185.3691
G2352	G2352	805	5969.4327
G2353	G2353	805	6348.3402
G2354	G2354	805	7701.419400000001
G2355	G2355	805	6005.162
G2356	G2356	805	6281.134
G2357	G2357	805	10314.2213
G2358	G2358	805	6219.2374
G2359	G2359	805	5916.3019
G2360	G2360	805	9332.1259
G2361	G2361	805	6442.465300000001
G2362	G2362	805	6922.375900000001
G2363	G2363	805	7648.5411
G2364	G2364	805	7717.347900000001
G2365	G2365	805	8385.0068
G2366	G2366	805	5713.786700000001
G2367	G2367	805	6777.7366
G2368	G2368	805	8459.9035
G2369	G2369	805	7590.2121
G2370	G2370	805	6220.046899999999
G2371	G2371	805	8302.1172
G2372	G2372	805	7250.2837
G2373	G2373	805	6688.1114
G2374	G2374	805	7945.6731
G2375	G2375	805	9378.6387
G2376	G2376	805	6934.6555
G2377	G2377	805	5271.019
G2378	G2378	805	7199.076999999999
G2379	G2379	805	5360.2227
G2380	G2380	805	6656.2007
G2381	G2381	805	6588.1851
G2382	G2382	805	6344.3418
G2383	G2383	805	6079.647800000001
G2384	G2384	805	6711.467200000001
G2385	G2385	805	6145.5684
G2386	G2386	805	7108.4129
G2387	G2387	805	7485.9899000000005
G2388	G2388	805	7336.22
G2389	G2389	805	5759.148
G2390	G2390	805	7569.4558
G2391	G2391	805	6547.5371
G2392	G2392	805	6200.763000000001
G2393	G2393	805	5993.6278999999995
G2394	G2394	805	7085.1843
G2395	G2395	805	8551.921199999999
G2396	G2396	805	7776.1975999999995
G2397	G2397	805	6611.6663
G2398	G2398	805	7742.498799999999
G2399	G2399	805	6321.1792
G2400	G2400	805	7403.8049
G2401	G2401	805	7379.487
G2402	G2402	805	9661.4561
G2403	G2403	805	5159.3247
G2404	G2404	805	8641.583
G2405	G2405	805	6542.676799999999
G2406	G2406	805	7560.0455999999995
G2407	G2407	805	6963.3355
G2408	G2408	805	6196.2432
G2409	G2409	805	8128.4794
G2410	G2410	805	5982.2907000000005
G2411	G2411	805	5483.8773
G2412	G2412	805	7266.5318
G2413	G2413	805	6644.904200000001
G2414	G2414	805	5957.9923
G2415	G2415	805	6049.7297
G2416	G2416	805	7332.9914
G2417	G2417	805	7844.733499999999
G2418	G2418	805	7768.2232
G2419	G2419	805	7050.356
G2420	G2420	805	8250.965100000001
G2421	G2421	805	6852.702799999999
G2422	G2422	805	7063.3674
G2423	G2423	805	7412.439899999999
G2424	G2424	805	7180.362800000001
G2425	G2425	805	6052.6544
G2426	G2426	805	7568.855099999999
G2427	G2427	805	6458.6559
G2428	G2428	805	6616.6026
G2429	G2429	805	8338.2264
G2430	G2430	805	6419.0909
G2431	G2431	805	6429.5141
G2432	G2432	805	8152.898000000001
G2433	G2433	805	7472.6163
G2434	G2434	805	7240.6447
G2435	G2435	805	7127.9869
G2436	G2436	805	6208.3907
G2437	G2437	805	6878.236
G2438	G2438	805	6667.9864
G2439	G2439	805	4442.4408
G2440	G2440	805	6786.1207
G2441	G2441	805	7124.2699999999995
G2442	G2442	805	7792.9728000000005
G2443	G2443	805	7542.3022
G2444	G2444	805	7602.401
G2445	G2445	805	7615.0515
G2446	G2446	805	9619.4607
G2447	G2447	805	6111.5463
G2448	G2448	805	6029.8637
G2449	G2449	805	6699.2364
G2450	G2450	805	6916.2225
G2451	G2451	805	9423.305100000001
G2452	G2452	805	6630.951499999999
G2453	G2453	805	7946.2055
G2454	G2454	805	6399.8899
G2455	G2455	805	6511.5028
G2456	G2456	805	4598.2678
G2457	G2457	805	6568.9851
G2458	G2458	805	8098.1396
G2459	G2459	805	7714.329
G2460	G2460	805	8096.2568
G2461	G2461	805	7727.0650000000005
G2462	G2462	805	7355.1372
G2463	G2463	805	7657.4604
G2464	G2464	805	5797.9351
G2465	G2465	805	6533.1536
G2466	G2466	805	7398.6878
G2467	G2467	805	6172.7302
G2468	G2468	805	8048.105799999999
G2469	G2469	805	7427.662600000001
G2470	G2470	805	7756.731599999999
G2471	G2471	805	7411.121500000001
G2472	G2472	805	7779.4349999999995
G2473	G2473	805	7505.6791
G2474	G2474	805	7199.0902
G2475	G2475	805	6369.0037
G2476	G2476	805	8432.9562
G2477	G2477	805	8633.2729
G2478	G2478	805	7262.122600000001
G2479	G2479	805	7330.8251
G2480	G2480	805	6020.9065
G2481	G2481	805	5425.4928
G2482	G2482	805	7128.4667
G2483	G2483	805	6456.4223
G2484	G2484	805	5994.686100000001
G2485	G2485	805	10223.2231
G2486	G2486	805	6826.2728
G2487	G2487	805	7646.017599999999
G2488	G2488	805	6265.4492
G2489	G2489	805	6426.5795
G2490	G2490	805	6751.5317
G2491	G2491	805	7191.4055
G2492	G2492	805	7031.3824
G2493	G2493	805	5373.3396
G2494	G2494	805	6901.4758
G2495	G2495	805	6832.1152999999995
G2496	G2496	805	6312.183800000001
G2497	G2497	805	6522.2274
G2498	G2498	805	6887.9493999999995
G2499	G2499	805	6373.5215
G2500	G2500	805	6661.9839999999995
G2501	G2501	805	7038.5548
G2502	G2502	805	5331.1720000000005
G2503	G2503	805	4853.3879
G2504	G2504	805	7178.9982
G2505	G2505	805	8118.595600000001
G2506	G2506	805	6212.9229
G2507	G2507	805	7436.236400000001
G2508	G2508	805	8047.9611
G2509	G2509	805	6829.672500000001
G2510	G2510	805	5932.0081
G2511	G2511	805	7225.2587
G2512	G2512	805	6529.553
G2513	G2513	805	7342.7941
G2514	G2514	805	6953.3678
G2515	G2515	805	6780.3333999999995
G2516	G2516	805	8923.9789
G2517	G2517	805	5450.4776
G2518	G2518	805	7532.6467
G2519	G2519	805	7218.983
G2520	G2520	805	6635.4383
G2521	G2521	805	7000.8117999999995
G2522	G2522	805	7427.531300000001
G2523	G2523	805	7227.973
G2524	G2524	805	7068.1034
G2525	G2525	805	7242.0247
G2526	G2526	805	7047.2466
G2527	G2527	805	9174.5268
G2528	G2528	805	7617.7508
G2529	G2529	805	6737.7977
G2530	G2530	805	7287.668
G2531	G2531	805	6078.9105
G2532	G2532	805	6445.900799999999
G2533	G2533	805	6864.0351
G2534	G2534	805	6476.9295
G2535	G2535	805	7305.4069
G2536	G2536	805	7331.998299999999
G2537	G2537	805	7312.4156
G2538	G2538	805	6753.8454
G2539	G2539	805	6611.3949999999995
G2540	G2540	805	6244.9126
G2541	G2541	805	5655.385899999999
G2542	G2542	805	5831.2047
G2543	G2543	805	8869.4751
G2544	G2544	805	7605.409299999999
G2545	G2545	805	6588.1841
G2546	G2546	805	7414.7472
G2547	G2547	805	7358.5533
G2548	G2548	805	6806.6475
G2549	G2549	805	5374.2137
G2550	G2550	805	4702.1438
G2551	G2551	805	6989.292
G2552	G2552	805	6040.7735999999995
G2553	G2553	805	7968.2459
G2554	G2554	805	6952.2417000000005
G2555	G2555	805	3848.8297000000002
G2556	G2556	805	6206.2286
G2557	G2557	805	7044.148
G2558	G2558	805	8021.1151
G2559	G2559	805	6198.0872
G2560	G2560	805	5967.704
G2561	G2561	805	6303.7351
G2562	G2562	805	6489.9585
G2563	G2563	805	7106.2341
G2564	G2564	805	8213.5833
G2565	G2565	805	6136.419099999999
G2566	G2566	805	7226.932000000001
G2567	G2567	805	7639.968800000001
G2568	G2568	805	4814.7253
G2569	G2569	805	4445.6872
G2570	G2570	805	6991.670899999999
G2571	G2571	805	6475.6556
G2572	G2572	805	7005.2883
G2573	G2573	805	6737.0523
G2574	G2574	805	6856.9763
G2575	G2575	805	7550.6849999999995
G2576	G2576	805	8414.983199999999
G2577	G2577	805	7343.3675
G2578	G2578	805	5704.497600000001
G2579	G2579	805	8257.3057
G2580	G2580	805	6037.6708
G2581	G2581	805	6663.5082
G2582	G2582	805	7278.0959
G2583	G2583	805	5171.1371
G2584	G2584	805	7004.0359
G2585	G2585	805	7186.9029
G2586	G2586	805	7488.2032
G2587	G2587	805	7830.373
G2588	G2588	805	6838.3396
G2589	G2589	805	8175.023300000001
G2590	G2590	805	6154.913199999999
G2591	G2591	805	8856.718400000002
G2592	G2592	805	6121.9151999999995
G2593	G2593	805	6809.000099999999
G2594	G2594	805	6817.8413
G2595	G2595	805	6209.2232
G2596	G2596	805	6844.699799999999
G2597	G2597	805	5995.1363
G2598	G2598	805	6020.080099999999
G2599	G2599	805	7110.909100000001
G2600	G2600	805	6042.0183
G2601	G2601	805	6321.5037
G2602	G2602	805	7074.0201
G2603	G2603	805	9519.167099999999
G2604	G2604	805	7092.3514
G2605	G2605	805	7420.404399999999
G2606	G2606	805	6368.5858
G2607	G2607	805	7533.2075
G2608	G2608	805	4306.6937
G2609	G2609	805	7560.222699999999
G2610	G2610	805	6217.504999999999
G2611	G2611	805	7304.4494
G2612	G2612	805	7628.1499
G2613	G2613	805	6830.0383999999995
G2614	G2614	805	6966.3368
G2615	G2615	805	7325.8272
G2616	G2616	805	7087.4328000000005
G2617	G2617	805	6891.2323
G2618	G2618	805	6056.4148000000005
G2619	G2619	805	7103.385399999999
G2620	G2620	805	7846.302
G2621	G2621	805	6450.7771999999995
G2622	G2622	805	7805.8832999999995
G2623	G2623	805	4539.8466
G2624	G2624	805	7094.249400000001
G2625	G2625	805	6555.248
G2626	G2626	805	6433.912400000001
G2627	G2627	805	7209.784299999999
G2628	G2628	805	7308.2721
G2629	G2629	805	6047.124400000001
G2630	G2630	805	5536.7181
G2631	G2631	805	7228.2102
G2632	G2632	805	8260.9573
G2633	G2633	805	6566.5455
G2634	G2634	805	6034.6134999999995
G2635	G2635	805	7027.0785
G2636	G2636	805	6389.0527
G2637	G2637	805	8439.9773
G2638	G2638	805	7339.4113
G2639	G2639	805	5184.5628
G2640	G2640	805	6790.8859999999995
G2641	G2641	805	7533.0771
G2642	G2642	805	6499.716899999999
G2643	G2643	805	8357.8707
